n,left_offset,right_offset
4294868306,33,7
4294868307,82,53
4294868308,37,59
4294868309,66,49
4294868310,103,7
4294868311,66,51
4294868312,79,85
4294868313,28,125
4294868314,67,41
4294868315,48,29
4294868316,11,121
4294868317,4,15
4294868318,9,37
4294868319,10,61
4294868320,91,21
4294868321,12,7
4294868322,59,53
4294868323,4,59
4294868324,15,13
4294868325,4,23
4294868326,127,15
4294868327,138,17
4294868328,23,19
4294868329,102,3
4294868330,27,31
4294868331,40,1
4294868332,45,33
4294868333,34,19
4294868334,11,59
4294868335,22,59
4294868336,45,71
4294868337,20,41
4294868338,9,59
4294868339,58,29
4294868340,11,23
4294868341,78,51
4294868342,13,7
4294868343,2,47
4294868344,7,41
4294868345,54,41
4294868346,1,247
4294868347,118,65
4294868348,25,25
4294868349,22,19
4294868350,91,17
4294868351,30,17
4294868352,55,1
4294868353,58,5
4294868354,3,19
4294868355,16,67
4294868356,15,5
4294868357,24,25
4294868358,13,95
4294868359,78,17
4294868360,39,37
4294868361,40,47
4294868362,7,15
4294868363,58,65
4294868364,1,7
4294868365,22,119
4294868366,25,25
4294868367,32,25
4294868368,19,45
4294868369,106,41
4294868370,19,7
4294868371,28,29
4294868372,43,25
4294868373,64,31
4294868374,3,39
4294868375,136,67
4294868376,23,11
4294868377,4,111
4294868378,45,17
4294868379,8,23
4294868380,27,9
4294868381,52,47
4294868382,107,103
4294868383,18,27
4294868384,1,7
4294868385,32,257
4294868386,27,111
4294868387,22,91
4294868388,19,41
4294868389,96,33
4294868390,91,161
4294868391,128,371
4294868392,27,63
4294868393,58,11
4294868394,47,59
4294868395,18,53
4294868396,31,19
4294868397,10,107
4294868398,19,11
4294868399,10,11
4294868400,53,137
4294868401,12,41
4294868402,15,37
4294868403,2,37
4294868404,31,57
4294868405,12,59
4294868406,23,55
4294868407,4,95
4294868408,127,29
4294868409,38,41
4294868410,31,47
4294868411,36,17
4294868412,5,5
4294868413,52,5
4294868414,15,77
4294868415,14,1
4294868416,75,185
4294868417,30,61
4294868418,113,35
4294868419,12,11
4294868420,7,13
4294868421,76,17
4294868422,25,101
4294868423,82,1
4294868424,23,191
4294868425,18,17
4294868426,15,7
4294868427,32,5
4294868428,25,27
4294868429,70,41
4294868430,7,139
4294868431,76,5
4294868432,73,13
4294868433,4,5
4294868434,3,59
4294868435,42,83
4294868436,37,79
4294868437,30,41
4294868438,3,41
4294868439,86,11
4294868440,7,53
4294868441,22,7
4294868442,35,17
4294868443,22,77
4294868444,15,29
4294868445,38,47
4294868446,51,17
4294868447,84,175
4294868448,37,55
4294868449,52,299
4294868450,1,1
4294868451,2,41
4294868452,93,131
4294868453,24,31
4294868454,23,59
4294868455,66,47
4294868456,51,41
4294868457,4,23
4294868458,3,11
4294868459,52,107
4294868460,61,31
4294868461,48,27
4294868462,3,7
4294868463,4,41
4294868464,7,23
4294868465,12,11
4294868466,31,65
4294868467,58,93
4294868468,7,5
4294868469,16,29
4294868470,3,3
4294868471,40,77
4294868472,77,41
4294868473,94,9
4294868474,3,1
4294868475,14,19
4294868476,21,21
4294868477,88,47
4294868478,29,79
4294868479,42,93
4294868480,27,79
4294868481,28,77
4294868482,25,41
4294868483,24,61
4294868484,101,23
4294868485,58,29
4294868486,31,11
4294868487,8,25
4294868488,3,95
4294868489,28,31
4294868490,79,91
4294868491,22,69
4294868492,9,55
4294868493,82,55
4294868494,37,41
4294868495,4,13
4294868496,13,11
4294868497,118,53
4294868498,25,91
4294868499,28,1
4294868500,57,9
4294868501,48,41
4294868502,59,83
4294868503,70,87
4294868504,87,91
4294868505,44,161
4294868506,15,17
4294868507,12,83
4294868508,107,41
4294868509,82,59
4294868510,39,173
4294868511,80,19
4294868512,147,23
4294868513,30,71
4294868514,37,1
4294868515,16,23
4294868516,31,7
4294868517,20,11
4294868518,39,95
4294868519,30,41
4294868520,1,17
4294868521,30,17
4294868522,13,37
4294868523,14,157
4294868524,51,3
4294868525,24,43
4294868526,17,11
4294868527,4,87
4294868528,15,11
4294868529,40,107
4294868530,67,83
4294868531,70,31
4294868532,13,13
4294868533,18,17
4294868534,15,17
4294868535,4,47
4294868536,1,39
4294868537,10,1
4294868538,23,37
4294868539,16,53
4294868540,57,121
4294868541,32,1
4294868542,49,65
4294868543,58,5
4294868544,5,29
4294868545,28,47
4294868546,57,89
4294868547,160,107
4294868548,67,59
4294868549,12,1
4294868550,59,17
4294868551,210,45
4294868552,25,5
4294868553,50,17
4294868554,3,11
4294868555,16,41
4294868556,35,59
4294868557,48,11
4294868558,37,67
4294868559,28,19
4294868560,31,3
4294868561,28,17
4294868562,5,31
4294868563,78,15
4294868564,1,1
4294868565,82,1
4294868566,7,17
4294868567,58,43
4294868568,29,19
4294868569,16,53
4294868570,7,11
4294868571,8,71
4294868572,115,23
4294868573,34,41
4294868574,35,29
4294868575,34,11
4294868576,15,101
4294868577,28,23
4294868578,25,17
4294868579,16,17
4294868580,19,17
4294868581,36,17
4294868582,43,31
4294868583,20,49
4294868584,7,11
4294868585,54,11
4294868586,7,11
4294868587,48,63
4294868588,3,5
4294868589,8,101
4294868590,9,83
4294868591,36,67
4294868592,5,13
4294868593,4,11
4294868594,21,23
4294868595,28,31
4294868596,51,167
4294868597,4,7
4294868598,17,17
4294868599,12,3
4294868600,31,101
4294868601,22,91
4294868602,3,105
4294868603,30,11
4294868604,7,77
4294868605,24,39
4294868606,201,239
4294868607,40,107
4294868608,55,69
4294868609,6,19
4294868610,113,41
4294868611,48,59
4294868612,9,83
4294868613,100,29
4294868614,3,57
4294868615,198,49
4294868616,13,7
