Z,lieb,nam,hps_s2,hps_s3,hps_simplified,best_published,best_name
153,306.000000000000000000,202.705443723718076399,200.518841995610273443,192.027935573256115731,192.524424964957461270,192.027935573256115731,hps_s3
154,308.000000000000000000,203.960325232896082071,201.760365199185798701,193.191637739497821258,193.689433643861434575,193.191637739497821258,hps_s3
155,310.000000000000000000,205.215056064834499239,203.001739734551563288,194.355144700618041043,194.854241419779327771,194.355144700618041043,hps_s3
156,312.000000000000000000,206.469637836261853181,204.242967196879760650,195.518458548173867939,196.018850448349155613,195.518458548173867939,hps_s3
157,314.000000000000000000,207.724072136328771876,205.484049154132321746,196.681581338088989241,197.183262848438374704,196.681581338088989241,hps_s3
158,316.000000000000000000,208.978360527250657697,206.724987147695173917,197.844515091483259539,198.347480703000911717,197.844515091483259539,hps_s3
159,318.000000000000000000,210.232504544931543933,207.965782692993514047,199.007261795477916166,199.511506059908725774,199.007261795477916166,hps_s3
160,320.000000000000000000,211.486505699569420358,209.206437280089460273,200.169823403976891996,200.675340932759269208,200.169823403976891996,hps_s3
161,322.000000000000000000,212.740365476244392084,210.446952374261940122,201.332201838425817186,201.838987301659216200,201.332201838425817186,hps_s3
162,324.000000000000000000,213.994085335489245381,211.687329416570094054,202.494398988548766738,203.002447113985681426,202.494398988548766738,hps_s3
163,326.000000000000000000,215.247666713844182595,212.927569824400165999,203.656416713064146506,204.165722285125610824,203.656416713064146506,hps_s3
164,328.000000000000000000,216.501111024395271443,214.167674991997131428,204.818256840379802952,205.328814699193713977,204.818256840379802952,hps_s3
165,330.000000000000000000,217.754419657297830781,215.407646290980864023,205.979921169268749281,206.491726209730472874,205.979921169268749281,hps_s3
166,332.000000000000000000,219.007593980285008683,216.647485070848119904,207.141411469525650091,207.654458640380084944,207.141411469525650091,hps_s3
167,334.000000000000000000,220.260635339162064383,217.887192659459998367,208.302729482604803479,208.817013785549420390,208.302729482604803479,hps_s3
168,336.000000000000000000,221.513545058286723588,219.126770363516214957,209.463876922240700651,209.979393411048988582,209.463876922240700651,hps_s3
169,338.000000000000000000,222.766324441036630333,220.366219469015987897,210.624855475051049325,211.141599254715487177,210.624855475051049325,hps_s3
170,340.000000000000000000,224.018974770263412211,221.605541241706276878,211.785666801123312553,212.303633027017866652,211.785666801123312553,hps_s3
171,342.000000000000000000,225.271497308734637954,222.844736927517772074,212.946312534585302956,213.465496411646199704,212.946312534585302956,hps_s3
172,344.000000000000000000,226.523893299563695791,224.083807752989002893,214.106794284160201869,214.627191066084947124,214.106794284160201869,hps_s3
173,346.000000000000000000,227.776163966627876789,225.322754925678879090,215.267113633706259179,215.788718622170506478,215.267113633706259179,hps_s3
174,348.000000000000000000,229.028310514975260048,226.561579634568204256,216.427272142742509686,216.950080686633697269,216.427272142742509686,hps_s3
175,350.000000000000000000,230.280334131220939753,227.800283050450474320,217.587271346959994389,218.111278841627949987,217.587271346959994389,hps_s3
176,352.000000000000000000,231.532235983932309864,229.038866326312245292,218.747112758719737258,219.272314645243085351,218.747112758719737258,hps_s3
177,354.000000000000000000,232.784017224004458058,230.277330597703297599,219.906797867537108004,220.433189632005962721,219.906797867537108004,hps_s3
178,356.000000000000000000,234.035678985025555221,231.515676983097336006,221.066328140553935100,221.593905313367429244,221.066328140553935100,hps_s3
179,358.000000000000000000,235.287222383632695255,232.753906584242940880,222.225705022997942706,222.754463178176933980,222.225705022997942706,hps_s3
180,360.000000000000000000,236.538648519858497821,233.992020486505595045,223.384929938630392598,223.914864693144693319,223.384929938630392598,hps_s3
181,362.000000000000000000,237.789958477468729825,235.230019759200899898,224.544004290182073191,225.075111303291635068,224.544004290182073191,hps_s3
182,364.000000000000000000,239.041153324291173021,236.467905455918952384,225.702929459778260934,226.235204432388258056,225.702929459778260934,hps_s3
183,366.000000000000000000,240.292234112536277735,237.705678614840678620,226.861706809352369874,227.395145483381753593,226.861706809352369874,hps_s3
184,368.000000000000000000,241.543201879109375341,238.943340259046010488,228.020337681049710454,228.554935838812525617,228.020337681049710454,hps_s3
185,370.000000000000000000,242.794057645915188459,240.180891396814274685,229.178823397620590185,229.714576861220280080,229.178823397620590185,hps_s3
186,372.000000000000000000,244.044802420154582023,241.418333021917021597,230.337165262803637233,230.874069893539456189,230.337165262803637233,hps_s3
187,374.000000000000000000,245.295437194613924703,242.655666113903464520,231.495364561699460637,232.033416259485278488,231.495364561699460637,hps_s3
188,376.000000000000000000,246.545962947947288058,243.892891638378955577,232.653422561135272417,233.192617263929776072,232.653422561135272417,hps_s3
